BS,T,SEQ_us,Triton_us,seq_over_tri
1,2,5.344,4.832,1.1060
1,3,6.256,4.768,1.3121
1,4,7.360,4.736,1.5541
1,5,9.184,4.832,1.9006
1,6,10.240,4.672,2.1919
1,7,11.409,4.736,2.4089
1,8,12.192,4.992,2.4423
1,9,14.176,5.280,2.6848
1,10,15.232,5.248,2.9024
1,11,16.096,5.343,3.0123
1,12,16.832,5.280,3.1879
1,13,19.072,5.504,3.4651
1,14,19.967,5.393,3.7028
1,15,20.768,5.456,3.8065
1,16,21.857,5.472,3.9942
4,2,8.128,7.328,1.1092
4,3,9.904,7.488,1.3226
4,4,11.584,7.296,1.5877
4,5,14.192,7.552,1.8792
4,6,15.936,7.360,2.1652
4,7,17.728,7.456,2.3777
4,8,19.616,7.568,2.5920
4,9,22.176,10.000,2.2176
4,10,23.952,10.080,2.3762
4,11,25.664,10.528,2.4376
4,12,27.488,10.096,2.7227
4,13,30.080,10.848,2.7729
4,14,32.064,10.144,3.1609
4,15,33.760,10.143,3.3282
4,16,35.392,8.416,4.2053
8,2,14.944,11.808,1.2655
8,3,15.232,12.176,1.2510
8,4,18.496,12.032,1.5372
8,5,22.592,12.480,1.8103
8,6,25.840,12.129,2.1305
8,7,28.960,12.273,2.3597
8,8,32.129,12.512,2.5679
8,9,36.271,15.999,2.2671
8,10,39.489,15.151,2.6062
8,11,42.640,16.095,2.6492
8,12,45.696,16.160,2.8278
8,13,52.497,16.304,3.2199
8,14,55.904,15.840,3.5293
8,15,59.343,16.704,3.5527
8,16,62.624,14.528,4.3106
16,2,20.512,18.592,1.1033
16,3,25.985,21.248,1.2229
16,4,32.384,20.576,1.5739
16,5,39.488,21.344,1.8501
16,6,45.936,20.896,2.1983
16,7,52.240,20.928,2.4962
16,8,58.256,22.111,2.6347
16,9,65.744,26.559,2.4753
16,10,72.000,25.936,2.7761
16,11,78.096,27.008,2.8916
16,12,84.320,26.560,3.1747
16,13,96.848,27.648,3.5029
16,14,103.568,27.088,3.8233
16,15,110.000,27.280,4.0323
16,16,116.559,25.792,4.5192
32,2,37.120,34.305,1.0821
32,3,46.016,37.760,1.2187
32,4,57.888,37.328,1.5508
32,5,71.120,38.432,1.8505
32,6,83.025,37.552,2.2109
32,7,95.136,38.080,2.4983
32,8,107.056,39.648,2.7002
32,9,119.952,49.585,2.4191
32,10,132.000,47.952,2.7528
32,11,143.569,50.337,2.8522
32,12,155.552,49.200,3.1616
32,13,176.592,51.408,3.4351
32,14,189.104,50.560,3.7402
32,15,201.456,50.896,3.9582
32,16,213.840,45.872,4.6617
64,2,68.256,63.488,1.0751
64,3,83.968,71.167,1.1799
64,4,107.168,70.528,1.5195
64,5,131.792,72.928,1.8072
64,6,155.040,71.040,2.1824
64,7,178.384,72.032,2.4765
64,8,201.568,75.232,2.6793
64,9,226.224,93.152,2.4285
64,10,249.632,90.432,2.7604
64,11,273.151,94.624,2.8867
64,12,296.160,92.912,3.1875
64,13,334.304,97.104,3.4427
64,14,358.320,94.960,3.7734
64,15,382.624,95.392,4.0111
64,16,406.576,86.752,4.6866
128,2,127.024,121.264,1.0475
128,3,158.560,135.887,1.1668
128,4,204.752,135.168,1.5148
128,5,252.400,139.632,1.8076
128,6,298.256,136.208,2.1897
128,7,344.384,138.464,2.4872
128,8,390.336,144.240,2.7062
128,9,438.048,178.160,2.4587
128,10,484.096,173.776,2.7857
128,11,530.240,181.424,2.9227
128,12,576.288,178.768,3.2237
128,13,644.224,186.304,3.4579
128,14,691.552,182.544,3.7884
128,15,738.976,184.160,4.0127
128,16,786.048,166.960,4.7080
256,2,244.384,237.392,1.0295
256,3,306.560,265.281,1.1556
256,4,397.664,264.352,1.5043
256,5,490.832,273.760,1.7929
256,6,581.504,267.200,2.1763
256,7,672.448,271.664,2.4753
256,8,763.520,282.880,2.6991
256,9,856.608,347.841,2.4626
256,10,947.552,340.112,2.7860
256,11,1038.592,355.616,2.9205
256,12,1129.711,350.048,3.2273
256,13,1257.584,364.416,3.4510
256,14,1350.719,358.928,3.7632
256,15,1444.160,361.280,3.9973
256,16,1536.576,327.984,4.6849
